time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
1634268600,2021-10-15 09:00,29.0,84.2,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",2.2,3.6,334,NNW,1005.0,29.67,0.04,0.0,69,89,32.6,90.7,29.0,84.2,32.6,90.7,22.6,72.7,0,0,0,0,10.0,6.0,3.1,5.0,Andhra Pradesh,Visakhapatnam
1634272200,2021-10-15 10:00,29.8,85.6,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",2.7,4.3,259,W,1004.0,29.64,0.02,0.0,67,87,33.8,92.9,29.8,85.6,33.8,92.9,22.8,73.1,0,21,0,0,9.7,6.0,3.6,5.8,Andhra Pradesh,Visakhapatnam
1634275800,2021-10-15 11:00,30.5,87.0,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",3.1,5.0,184,S,1003.0,29.61,0.23,0.01,65,85,35.1,95.1,30.5,87.0,35.1,95.1,23.1,73.5,0,21,0,0,9.3,5.0,4.0,6.5,Andhra Pradesh,Visakhapatnam
1634279400,2021-10-15 12:00,31.3,88.3,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",3.6,5.8,109,ESE,1002.0,29.59,0.31,0.01,63,83,36.3,97.3,31.3,88.3,36.3,97.3,23.3,73.9,0,0,0,0,9.0,5.0,4.5,7.2,Andhra Pradesh,Visakhapatnam
1634283000,2021-10-15 13:00,30.9,87.6,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",3.8,6.1,95,E,1002.0,29.58,0.16,0.01,65,84,35.9,96.6,30.9,87.6,35.9,96.6,23.5,74.3,0,21,0,0,9.3,5.0,5.3,8.5,Andhra Pradesh,Visakhapatnam
1634286600,2021-10-15 14:00,30.5,86.9,1,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",4.0,6.5,82,E,1001.0,29.56,0.27,0.01,67,84,35.5,95.9,30.5,86.9,35.5,95.9,23.7,74.7,1,80,0,0,9.7,6.0,6.1,9.8,Andhra Pradesh,Visakhapatnam
1634290200,2021-10-15 15:00,30.1,86.2,1,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",4.3,6.8,69,ENE,1001.0,29.55,0.36,0.01,70,85,35.1,95.2,30.1,86.2,35.1,95.2,23.9,75.0,0,0,0,0,10.0,6.0,6.9,11.2,Andhra Pradesh,Visakhapatnam
1634293800,2021-10-15 16:00,29.7,85.5,1,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",4.5,7.2,60,ENE,1001.0,29.57,0.18,0.01,72,86,34.6,94.3,29.7,85.5,34.6,94.3,24.0,75.2,1,80,0,0,10.0,6.0,7.0,11.3,Andhra Pradesh,Visakhapatnam
1634297400,2021-10-15 17:00,29.3,84.7,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",4.7,7.6,50,NE,1002.0,29.59,0.03,0.0,74,88,34.1,93.4,29.3,84.7,34.1,93.4,24.1,75.4,0,21,0,0,10.0,6.0,7.1,11.4,Andhra Pradesh,Visakhapatnam
1634301000,2021-10-15 18:00,28.9,84.0,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.9,7.9,41,NE,1002.0,29.6,0.04,0.0,76,89,33.6,92.5,28.9,84.0,33.6,92.5,24.2,75.6,0,0,0,0,10.0,6.0,7.2,11.5,Andhra Pradesh,Visakhapatnam
